Brand,Vehicle,Vehicle Type,Engine Size(L),Cylinders,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
ACURA,ACURA ILX,COMPACT,2,4,Z,9.9,6.7,8.5,33,196
ACURA,ACURA ILX,COMPACT,2.4,4,Z,11.2,7.7,9.6,29,221
ACURA,ACURA ILX HYBRID,COMPACT,1.5,4,Z,6,5.8,5.9,48,136
ACURA,ACURA MDX 4WD,SUV - SMALL,3.5,6,Z,12.7,9.1,11.1,25,255
ACURA,ACURA RDX AWD,SUV - SMALL,3.5,6,Z,12.1,8.7,10.6,27,244
ACURA,ACURA RLX,MID-SIZE,3.5,6,Z,11.9,7.7,10,28,230
ACURA,ACURA TL,MID-SIZE,3.5,6,Z,11.8,8.1,10.1,28,232
ACURA,ACURA TL AWD,MID-SIZE,3.7,6,Z,12.8,9,11.1,25,255
ACURA,ACURA TL AWD,MID-SIZE,3.7,6,Z,13.4,9.5,11.6,24,267
ACURA,ACURA TSX,COMPACT,2.4,4,Z,10.6,7.5,9.2,31,212
ACURA,ACURA TSX,COMPACT,2.4,4,Z,11.2,8.1,9.8,29,225
ACURA,ACURA TSX,COMPACT,3.5,6,Z,12.1,8.3,10.4,27,239
ALFA ROMEO,ALFA ROMEO 4C,TWO-SEATER,1.8,4,Z,9.7,6.9,8.4,34,193
ASTON MARTIN,ASTON MARTIN DB9,MINICOMPACT,5.9,12,Z,18,12.6,15.6,18,359
ASTON MARTIN,ASTON MARTIN RAPIDE,SUBCOMPACT,5.9,12,Z,18,12.6,15.6,18,359
ASTON MARTIN,ASTON MARTIN V8 VANTAGE,TWO-SEATER,4.7,8,Z,17.4,11.3,14.7,19,338
ASTON MARTIN,ASTON MARTIN V8 VANTAGE,TWO-SEATER,4.7,8,Z,18.1,12.2,15.4,18,354
ASTON MARTIN,ASTON MARTIN V8 VANTAGE S,TWO-SEATER,4.7,8,Z,17.4,11.3,14.7,19,338
ASTON MARTIN,ASTON MARTIN V8 VANTAGE S,TWO-SEATER,4.7,8,Z,18.1,12.2,15.4,18,354
ASTON MARTIN,ASTON MARTIN VANQUISH,MINICOMPACT,5.9,12,Z,18,12.6,15.6,18,359
AUDI,AUDI A4,COMPACT,2,4,Z,9.9,7.4,8.8,32,202
AUDI,AUDI A4 QUATTRO,COMPACT,2,4,Z,11.5,8.1,10,28,230
AUDI,AUDI A4 QUATTRO,COMPACT,2,4,Z,10.8,7.5,9.3,30,214
AUDI,AUDI A5 CABRIOLET QUATTRO,SUBCOMPACT,2,4,Z,11.5,8.1,10,28,230
AUDI,AUDI A5 QUATTRO,SUBCOMPACT,2,4,Z,11.5,8.1,10,28,230
AUDI,AUDI A5 QUATTRO,SUBCOMPACT,2,4,Z,10.8,7.5,9.3,30,214
AUDI,AUDI A6 QUATTRO,MID-SIZE,2,4,Z,12,8.1,10.2,28,235
AUDI,AUDI A6 QUATTRO,MID-SIZE,3,6,Z,12.8,8.6,10.9,26,251
AUDI,AUDI A6 QUATTRO TDI (modified),MID-SIZE,3,6,D,9.8,6.2,8.1,35,217
AUDI,AUDI A7 QUATTRO,MID-SIZE,3,6,Z,13.3,8.5,11.2,25,262
AUDI,AUDI A7 QUATTRO TDI (modified),MID-SIZE,3,6,D,9.8,6.2,8.1,35,217
AUDI,AUDI A8,MID-SIZE,3,6,Z,13.1,8.8,11.2,25,258
AUDI,AUDI A8,MID-SIZE,4,8,Z,13.7,8.3,11.3,25,265
AUDI,AUDI A8 TDI (modified),MID-SIZE,3,6,D,9.8,6.5,8.4,34,224
AUDI,AUDI A8L,FULL-SIZE,3,6,Z,13.1,8.8,11.2,25,258
