date_received,product,subproduct,issue,subissue,consumer_complaint_narrative,company_public_response,company_name,state,zip_code,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed,complaint_id
6/10/2016,Prepaid card,Mobile wallet,Fees,,,Company believes it acted appropriately as authorized by contract or law,JPay Inc.,IL,61764,,,Postal mail,6/13/2016,Closed,TRUE,FALSE,1963051
2/26/2016,Prepaid card,General purpose card,Fees,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",FL,32311,,,Referral,3/2/2016,Closed with explanation,TRUE,FALSE,1806083
1/4/2017,Prepaid card,Other special purpose card,Fees,,,Company believes it acted appropriately as authorized by contract or law,JPay Inc.,LA,70426,,,Postal mail,1/6/2017,Closed with explanation,TRUE,TRUE,2275374
7/21/2014,Prepaid card,Gift or merchant card,Fees,,,,U.S. BANCORP,MA,02140,,,Referral,7/23/2014,Closed with explanation,TRUE,FALSE,945721
1/6/2015,Credit card,,Other,,,,U.S. BANCORP,NJ,08030,Older American,,Web,1/6/2015,Closed with explanation,TRUE,FALSE,1182799
5/28/2015,Credit card,,Other,,,,DISCOVER BANK,VA,23116,,,Phone,6/1/2015,Closed with explanation,TRUE,FALSE,1396500
2/15/2015,Credit card,,Other,,,,DISCOVER BANK,GA,30041.0,,,Web,2/15/2015,Closed with explanation,TRUE,FALSE,1241387
10/28/2016,Mortgage,Other mortgage,Other,,,,"Seterus, Inc.",IL,60471.0,,,Postal mail,11/1/2016,Closed with explanation,TRUE,FALSE,2184451
4/29/2014,Credit card,,Other,,,,"CITIBANK, N.A.",TX,75287,Older American,,Web,5/6/2014,Closed with explanation,TRUE,TRUE,830237
2/10/2015,Credit card,,Other,,,,"CITIBANK, N.A.",TX,76063,,,Web,2/10/2015,Closed with non-monetary relief,TRUE,FALSE,1233122
7/10/2012,Mortgage,Other mortgage,Other,,,,"CITIBANK, N.A.",FL,33071,,,Postal mail,7/11/2012,Closed with explanation,TRUE,FALSE,115177
3/9/2015,Credit card,,Other,,,,U.S. BANCORP,MO,65613,,,Postal mail,3/13/2015,Closed with monetary relief,TRUE,FALSE,1273842
5/5/2014,Mortgage,Other mortgage,Other,,,,PNC Bank N.A.,MD,20774,,,Fax,5/7/2014,Closed with explanation,TRUE,FALSE,838087
5/30/2012,Mortgage,Other mortgage,Other,,,,"CITIBANK, N.A.",NJ,7024.0,,,Postal mail,5/31/2012,Closed with non-monetary relief,TRUE,FALSE,88608
5/14/2014,Credit card,,Other,,,,U.S. BANCORP,MD,21788.0,,,Web,5/16/2014,Closed with monetary relief,TRUE,FALSE,852424
9/24/2014,Credit card,,Other,,,,DISCOVER BANK,NV,89129.0,,,Web,12/9/2014,Closed with explanation,TRUE,FALSE,1042374
4/10/2012,Mortgage,Other mortgage,Other,,,,POPULAR BANK,FL,33175,,,Referral,5/22/2012,Closed with explanation,TRUE,FALSE,54352
2/13/2014,Credit card,,Other,,,,"CITIBANK, N.A.",NY,11109,,,Postal mail,2/21/2014,Closed with explanation,TRUE,FALSE,713425
2/19/2013,Credit card,,Other,,,,DISCOVER BANK,CA,90046,,,Referral,2/20/2013,Closed with explanation,TRUE,FALSE,320389
10/28/2013,Credit card,,Other,,,,"CITIBANK, N.A.",FL,33062,,,Phone,11/13/2013,Closed with explanation,TRUE,FALSE,573774
8/28/2015,Credit card,,Other,,,Company chooses not to provide a public response,"CITIBANK, N.A.",FL,33409,,,Referral,8/31/2015,Closed with explanation,TRUE,FALSE,1543019
1/23/2017,Credit card,,Other,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",GA,30571.0,,,Postal mail,1/25/2017,Closed with monetary relief,TRUE,FALSE,2303220
5/11/2014,Credit card,,Other,,,,Synovus Bank,TX,78503,,,Web,5/14/2014,Closed with explanation,TRUE,FALSE,846853
3/1/2014,Credit card,,Other,,,,U.S. BANCORP,PA,19373,,,Web,2/28/2014,Closed with non-monetary relief,TRUE,FALSE,738627
9/22/2014,Credit card,,Other,,,,DISCOVER BANK,GA,30087,,,Referral,9/26/2014,Closed with explanation,TRUE,FALSE,1038412
4/20/2013,Credit card,,Other,,,,DISCOVER BANK,TN,38358.0,,,Web,4/23/2013,Closed with monetary relief,TRUE,FALSE,387199
4/14/2012,Credit card,,Other,,,,"CITIBANK, N.A.",PA,19610,,,Web,4/16/2012,Closed without relief,TRUE,FALSE,58069
9/20/2014,Credit card,,Other,,,,DISCOVER BANK,MI,48178.0,Servicemember,,Web,9/20/2014,Closed with explanation,TRUE,FALSE,1037974
4/11/2016,Mortgage,Other mortgage,Other,,,,ASTORIA BANK,NY,11766,,,Referral,4/11/2016,Closed with explanation,TRUE,FALSE,1874057
