Position Holder,Name of Share Issuer,ISIN,Net Short Position (%),Position Date
"AQR Capital Management, LLC",abrdn plc,GB00BF8Q6K64,0.50,29/06/2023
BlackRock Investment Management (UK) Limited,abrdn plc,GB00BF8Q6K64,1.30,05/07/2023
Citadel Advisors Europe Limited,abrdn plc,GB00BF8Q6K64,0.80,19/06/2023
Marshall Wace LLP,ADMIRAL GROUP PLC,GB00B02J6398,0.58,04/07/2023
WorldQuant LLC,ADMIRAL GROUP PLC,GB00B02J6398,0.50,05/07/2023
Helikon Investments Limited,AFC Energy,GB00B18S7B29,0.60,06/07/2023
Panmure Gordon,All Things Considered Group Plc,GB00BM9CMX71,0.59,30/06/2023
BlackRock Investment Management (UK) Limited,Alliance Pharma,GB0031030819,1.46,17/05/2023
GLG Partners LP,Alliance Pharma,GB0031030819,0.70,25/05/2023
GLG Partners LP,Alpha Financial Markets Consulting PLC,GB00BF16C058,0.53,03/07/2023
KUVARI PARTNERS LLP,ALPHAWAVE IP GROUP PLC,GB00BNDRMJ14,0.91,22/05/2023
Panmure Gordon,AMTE POWER PLC,GB00BNQRZZ55,1.89,30/06/2023
Natixis,ANGLO AMERICAN PLC,GB00B1XZS820,1.41,04/06/2019
Ennismore Fund Management Limited,AO WORLD PLC,GB00BJTNFH41,1.39,21/04/2023
Systematica Investments Limited,Ascential PLC,GB00BYM8GJ06,0.50,30/05/2023
Wellington Management Company LLP,ASHMORE GROUP PLC,GB00B132NW22,0.79,05/06/2023
GLG Partners LP,ASOS PLC,GB0030927254,0.50,04/07/2023
Squarepoint Ops LLC,ASOS PLC,GB0030927254,1.47,06/07/2023
GLG Partners LP,ASSURA PLC,GB00BVGBWW93,0.72,23/05/2023
Tellworth Investments LLP,ASSURA PLC,GB00BVGBWW93,0.79,05/06/2023
"Cyrus Capital Partners, L.P.",Aston Martin Lagonda Global Holdings PLC,GB00BN7CG237,0.52,30/06/2023
GLG Partners LP,AUCTION TECHNOLOGY GROUP PLC,GB00BMVQDZ64,0.70,23/06/2023
Jupiter Investment Management Limited,Augean PLC,GB00B02H2F76,0.50,21/01/2015
GLG Partners LP,AUTO TRADER GROUP PLC,GB00BVYVFW23,0.91,22/06/2023
Marshall Wace LLP,B&M EUROPEAN VALUE RETAIL S.A.,LU1072616219,0.78,21/06/2023
GLG Partners LP,BAKKAVOR GROUP PLC,GB00BF8J3Z99,0.70,08/03/2023
GLG Partners LP,BARRATT DEVELOPMENTS PLC,GB0000811801,0.54,04/07/2023
Marshall Wace LLP,BARRATT DEVELOPMENTS PLC,GB0000811801,0.75,06/07/2023
Citadel Advisors LLC,Boohoo Group,JE00BG6L7297,0.60,26/06/2023
ELEVA CAPITAL SAS,Boohoo Group,JE00BG6L7297,1.66,14/06/2023
Marshall Wace LLP,Boohoo Group,JE00BG6L7297,0.91,26/05/2023
Systematica Investments Limited,Boohoo Group,JE00BG6L7297,0.50,20/06/2023
BlackRock Investment Management (UK) Limited,Brown(N.)Group,GB00B1P6ZR11,0.65,12/06/2023
GLG Partners LP,C&C GROUP PLC,IE00B010DT83,0.60,29/06/2023
Marshall Wace LLP,CAPITA PLC,GB00B23K0M20,0.50,03/04/2023
ActusRayPartners Limited,Capricorn Energy Plc,GB00BQ98V038,0.50,19/06/2023
WorldQuant LLC,Capricorn Energy Plc,GB00BQ98V038,1.29,20/06/2023
Qube Research & Technologies Limited,CARNIVAL PLC,GB0031215220,1.14,06/07/2023
Tellworth Investments LLP,CARNIVAL PLC,GB0031215220,0.79,29/06/2023
Marshall Wace LLP,CERES POWER HOLDINGS PLC,GB00BG5KQW09,0.78,01/06/2023
New Holland Capital LLC,CINEWORLD GROUP PLC,GB00B15FWH70,1.50,02/12/2022
Sand Grove Capital Management LLP,CINEWORLD GROUP PLC,GB00B15FWH70,1.05,05/12/2022
TFG Asset Management UK LLP,CINEWORLD GROUP PLC,GB00B15FWH70,0.74,26/04/2022
GLG Partners LP,Close Brothers Group PLC,GB0007668071,0.50,06/07/2023
Millennium International Management LP,Close Brothers Group PLC,GB0007668071,0.59,28/06/2023
Marshall Wace LLP,COCA-COLA HBC AG,CH0198251305,0.50,05/07/2023
AKO Capital LLP,CONVATEC GROUP ORD,GB00BD3VFW73,1.30,07/06/2023
JPMorgan Asset Management (UK) Ltd,Craneware,GB00B2425G68,0.70,04/07/2023
WorldQuant LLC,CREST NICHOLSON HOLDINGS PLC,GB00B8VZXT93,0.50,03/07/2023
Marshall Wace LLP,CRODA INTERNATIONAL PLC,GB00BJFFLV09,1.10,26/06/2023
GLG Partners LP,CURRYS PLC,GB00B4Y7R145,0.50,23/06/2023
"SIH PARTNERS, LLLP",CURRYS PLC,GB00B4Y7R145,1.64,06/07/2023
Marshall Wace LLP,D S Smith PLC,GB0008220112,0.50,03/07/2023
JPMorgan Asset Management (UK) Ltd,DARKTRACE PLC,GB00BNYK8G86,0.50,08/06/2023
Parvus Asset Management Europe Limited,DARKTRACE PLC,GB00BNYK8G86,0.50,03/03/2023
Wellington Management Company LLP,DARKTRACE PLC,GB00BNYK8G86,0.53,02/06/2023
Wellington Management International Ltd,DARKTRACE PLC,GB00BNYK8G86,0.52,06/07/2023
GLG Partners LP,DCC PLC,IE0002424939,0.60,21/06/2023
"Saba Capital Management, L.P.",DE LA RUE PLC,GB00B3DGH821,1.26,29/03/2022
Qube Research & Technologies Limited,DECHRA PHARMACEUTICALS PLC,GB0009633180,1.01,29/06/2023
GLG Partners LP,DFS FURNITURE PLC,GB00BTC0LB89,1.58,30/06/2023
Tellworth Investments LLP,DFS FURNITURE PLC,GB00BTC0LB89,0.73,23/06/2023
Ennismore Fund Management Limited,DIALIGHT PLC,GB0033057794,1.18,20/03/2020
Millennium International Management LP,DIALIGHT PLC,GB0033057794,0.59,22/06/2021
Gladstone Capital Management LLP,DIRECT LINE INSURANCE GROUP PLC,GB00BY9D0Y18,1.83,22/03/2023
Adage Capital Management L.P.,DIVERSIFIED ENERGY COMPANY PLC,GB00BYX7JT74,0.66,01/03/2023
Fosse Capital Partners LLP,DOMINO'S PIZZA GROUP PLC,GB00BYN59130,1.13,01/12/2022
GLG Partners LP,DOMINO'S PIZZA GROUP PLC,GB00BYN59130,0.60,27/06/2023
GLG Partners LP,DR. MARTENS PLC,GB00BL6NGV24,0.61,07/06/2023
Marshall Wace LLP,DRAX GROUP PLC,GB00B1VNSX38,0.90,27/06/2023
GLG Partners LP,Energean Oil & Gas PLC,GB00BG12Y042,1.01,06/07/2023
Systematica Investments Limited,Energean Oil & Gas PLC,GB00BG12Y042,0.50,26/06/2023
GLG Partners LP,ESSENTRA PLC,GB00B0744359,0.83,05/07/2023
GLG Partners LP,FD Technologies,GB0031477770,0.51,04/10/2022
JPMorgan Asset Management (UK) Ltd,FD Technologies,GB0031477770,1.53,04/07/2023
GLG Partners LP,FDM GROUP (HOLDINGS) PLC,GB00BLWDVP51,0.50,06/07/2023
JPMorgan Asset Management (UK) Ltd,Fevertree Drinks,GB00BRJ9BJ26,0.52,30/01/2023
AHL Partners LLP,FUTURE PLC,GB00BYZN9041,0.90,16/06/2023
Tellworth Investments LLP,Gamma Communications,GB00BQS10J50,0.51,03/04/2023
GLG Partners LP,GENUIT GROUP PLC,GB00BKRC5K31,0.52,20/06/2023
GLG Partners LP,GENUS PLC,GB0002074580,0.71,15/06/2023
Millennium International Management LP,GREAT PORTLAND ESTATES PLC,GB00BF5H9P87,0.66,31/05/2023
GLG Partners LP,GREENCORE GROUP PLC,IE0003864109,1.09,31/05/2023
Citadel Advisors LLC,GULF KEYSTONE PETROLEUM ORD,BMG4209G2077,0.58,05/07/2023
JPMorgan Asset Management (UK) Ltd,HALFORDS GROUP PLC,GB00B012TP20,0.88,19/05/2023
SFM IRELAND MANAGEMENT LIMITED,HALFORDS GROUP PLC,GB00B012TP20,1.14,31/01/2023
SFM UK Management LLP,HALMA PLC,GB0004052071,0.56,21/01/2022
CapeView Capital LLP,HAMMERSON PLC,GB00BK7YQK64,0.60,24/03/2023
Caxton Europe LLP,HAMMERSON PLC,GB00BK7YQK64,1.13,04/11/2022
"Maverick Capital, Ltd.",HAMMERSON PLC,GB00BK7YQK64,0.84,21/06/2023
"Woodson Capital Management, LP",HAMMERSON PLC,GB00BK7YQK64,0.80,03/07/2023
"AQR Capital Management, LLC",HARBOUR ENERGY PLC,GB00BMBVGQ36,0.51,12/05/2023
Capital Fund Management SA,HARBOUR ENERGY PLC,GB00BMBVGQ36,0.88,21/03/2023
Taconic Capital Advisors UK LLP,HARBOUR ENERGY PLC,GB00BMBVGQ36,1.90,22/03/2023
BlackRock Investment Management (UK) Limited,HARGREAVES LANSDOWN PLC,GB00B1VZ0M25,1.30,30/05/2023
Canada Pension Plan Investment Board,HARGREAVES LANSDOWN PLC,GB00B1VZ0M25,1.10,24/05/2023
Kintbury Capital LLP,HARGREAVES LANSDOWN PLC,GB00B1VZ0M25,1.00,27/02/2023
Marshall Wace LLP,HAYS PLC,GB0004161021,0.60,28/06/2023
GLG Partners LP,HELIOS TOWERS PLC,GB00BJVQC708,0.78,27/06/2023
GLG Partners LP,HG CAPITAL TRUST PLC,GB00BJ0LT190,0.50,26/05/2023
Millennium International Management LP,HIKMA PHARMACEUTICALS PLC,GB00B0LCW083,0.57,03/07/2023
Fraser John Perring,Home REIT PLC,GB00BJP5HK17,0.82,22/11/2022
Millennium Capital Partners LLP,HOWDEN JOINERY GROUP PLC,GB0005576813,0.50,06/07/2023
Millennium International Management LP,HOWDEN JOINERY GROUP PLC,GB0005576813,0.50,26/06/2023
BlackRock Investment Management (UK) Limited,IBSTOCK PLC,GB00BYXJC278,0.83,15/06/2023
Marshall Wace LLP,IMPERIAL BRANDS PLC,GB0004544929,0.59,30/06/2023
Marshall Wace LLP,INTERCONTINENTAL HOTELS GROUP PLC,GB00BHJYC057,0.60,22/06/2023
Point72 Europe (London) LLP,INTERCONTINENTAL HOTELS GROUP PLC,GB00BHJYC057,0.80,21/06/2023
Qube Research & Technologies Limited,International Distributions Services plc,GB00BDVZYZ77,0.59,26/06/2023
AHL Partners LLP,Invesco DB Commodity Index Tracking Fund,US46138B1035,0.58,23/06/2023
GSA Capital Partners LLP,IOG PLC,GB00BF49WF64,1.00,28/06/2023
JPMorgan Asset Management (UK) Ltd,IQE,GB0009619924,0.94,22/05/2023
BlackRock Investment Management (UK) Limited,ITM Power PLC,GB00B0130H42,1.21,02/06/2023
Ennismore Fund Management Limited,ITM Power PLC,GB00B0130H42,0.53,31/01/2023
Helikon Investments Limited,ITM Power PLC,GB00B0130H42,2.81,05/07/2023
GLG Partners LP,ITV PLC,GB0033986497,0.60,16/06/2023
GLG Partners LP,IWG PLC,JE00BYVQYS01,0.70,16/12/2022
JPMorgan Asset Management (UK) Ltd,IWG PLC,JE00BYVQYS01,0.60,12/05/2023
BlackRock Investment Management (UK) Limited,J. Sainsbury PLC,GB00B019KW72,2.12,05/07/2023
GLG Partners LP,J. Sainsbury PLC,GB00B019KW72,0.83,22/06/2023
D. E. Shaw & Co. LP,Jet2 Plc,GB00B1722W11,0.50,28/06/2023
Linden Advisors LP,Jet2 Plc,GB00B1722W11,0.59,05/04/2023
Albar Capital Limited,JOHNSON MATTHEY PLC,GB00BZ4BQC70,0.55,25/05/2023
BlackRock Investment Management (UK) Limited,JOHNSON MATTHEY PLC,GB00BZ4BQC70,1.30,05/07/2023
Marshall Wace LLP,JOHNSON MATTHEY PLC,GB00BZ4BQC70,1.11,22/06/2023
GLG Partners LP,JTC ORD,JE00BF4X3P53,0.57,19/06/2023
